
Date,Name,Tags,URL,Description
2017-10-22,Best Films in less than 24 Hours,showdown:24hours,https://letterboxd.com/jojonium/list/best-films-in-less-than-24-hours/,"All of the action depicted in the film takes place in less than 24 hours. For <a href=""https://letterboxd.com/showdown/24-hours/"">this</a> showdown."

Position,Name,Year,URL,Description
1,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/,
2,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,
3,The Thing,1982,https://letterboxd.com/film/the-thing/,
4,Airplane!,1980,https://letterboxd.com/film/airplane/,
5,Predator,1987,https://letterboxd.com/film/predator/,
6,12 Angry Men,1957,https://letterboxd.com/film/12-angry-men/,
7,Falling Down,1993,https://letterboxd.com/film/falling-down/,
8,Evil Dead II,1987,https://letterboxd.com/film/evil-dead-ii/,
9,Clue,1985,https://letterboxd.com/film/clue/,
10,The Texas Chain Saw Massacre,1974,https://letterboxd.com/film/the-texas-chain-saw-massacre/,
