
Date,Name,Tags,URL,Description
2017-04-22,Elaina's Suggestions to Watch,bae,https://letterboxd.com/jojonium/list/elainas-suggestions-to-watch/,

Position,Name,Year,URL,Description
1,Heavenly Creatures,1994,https://letterboxd.com/film/heavenly-creatures/,
2,Camille,2008,https://letterboxd.com/film/camille-2008/,
3,Fargo,1996,https://letterboxd.com/film/fargo/,
4,Memento,2000,https://letterboxd.com/film/memento/,
5,The Triplets of Belleville,2003,https://letterboxd.com/film/the-triplets-of-belleville/,
6,The Man in 3B,2015,https://letterboxd.com/film/the-man-in-3b/,
7,Before I Sleep,2013,https://letterboxd.com/film/before-i-sleep/,
8,Heathers,1988,https://letterboxd.com/film/heathers/,
9,Horns,2013,https://letterboxd.com/film/horns/,
10,Blades of Glory,2007,https://letterboxd.com/film/blades-of-glory/,
11,Dream House,2011,https://letterboxd.com/film/dream-house/,
12,The Hot Chick,2002,https://letterboxd.com/film/the-hot-chick/,
13,Deuce Bigalow: Male Gigolo,1999,https://letterboxd.com/film/deuce-bigalow-male-gigolo/,
14,Superbad,2007,https://letterboxd.com/film/superbad/,
15,The Waterboy,1998,https://letterboxd.com/film/the-waterboy/,
16,The Mask,1994,https://letterboxd.com/film/the-mask-1994/,
17,Frailty,2001,https://letterboxd.com/film/frailty/,
18,The Midnight Meat Train,2008,https://letterboxd.com/film/the-midnight-meat-train/,
19,Haunter,2013,https://letterboxd.com/film/haunter/,
20,The Croods,2013,https://letterboxd.com/film/the-croods/,
21,Grease,1978,https://letterboxd.com/film/grease/,
22,Parents,1989,https://letterboxd.com/film/parents/,
