
Date,Name,Tags,URL,Description
2017-06-13,Essential Comfy-Core,"/tv/, comfy",https://letterboxd.com/jojonium/list/essential-comfy-core/,

Position,Name,Year,URL,Description
1,Lost in Translation,2003,https://letterboxd.com/film/lost-in-translation/,
2,Ghostbusters,1984,https://letterboxd.com/film/ghostbusters/,
3,The Thing,1982,https://letterboxd.com/film/the-thing/,
4,Fargo,1996,https://letterboxd.com/film/fargo/,
5,Chungking Express,1994,https://letterboxd.com/film/chungking-express/,
6,Little Miss Sunshine,2006,https://letterboxd.com/film/little-miss-sunshine/,
7,Dazed and Confused,1993,https://letterboxd.com/film/dazed-and-confused/,
8,The Princess Bride,1987,https://letterboxd.com/film/the-princess-bride/,
9,Up in the Air,2009,https://letterboxd.com/film/up-in-the-air/,
10,Castaway on the Moon,2009,https://letterboxd.com/film/castaway-on-the-moon/,
11,Groundhog Day,1993,https://letterboxd.com/film/groundhog-day/,
12,Singin' in the Rain,1952,https://letterboxd.com/film/singin-in-the-rain/,
13,Clerks,1994,https://letterboxd.com/film/clerks/,
14,The Big Lebowski,1998,https://letterboxd.com/film/the-big-lebowski/,
15,Moonrise Kingdom,2012,https://letterboxd.com/film/moonrise-kingdom/,
16,The Breakfast Club,1985,https://letterboxd.com/film/the-breakfast-club/,
17,Labyrinth,1986,https://letterboxd.com/film/labyrinth/,
18,Shaun of the Dead,2004,https://letterboxd.com/film/shaun-of-the-dead/,
19,My Neighbor Totoro,1988,https://letterboxd.com/film/my-neighbor-totoro/,
20,The Iron Giant,1999,https://letterboxd.com/film/the-iron-giant/,
