
Date,Name,Tags,URL,Description
2017-06-13,Essential Cyber Punk,"cyberpunk, scifi, science fiction, sci-fi, /tv/, 4chan",https://letterboxd.com/jojonium/list/essential-cyber-punk/,

Position,Name,Year,URL,Description
1,Blade Runner,1982,https://letterboxd.com/film/blade-runner/,
2,Metropolis,1927,https://letterboxd.com/film/metropolis/,
3,Tron,1982,https://letterboxd.com/film/tron/,
4,RoboCop,1987,https://letterboxd.com/film/robocop/,
5,Ghost in the Shell,1995,https://letterboxd.com/film/ghost-in-the-shell/,
6,The Terminator,1984,https://letterboxd.com/film/the-terminator/,
7,Technotise: Edit & I,2009,https://letterboxd.com/film/technotise-edit-i/,
8,Minority Report,2002,https://letterboxd.com/film/minority-report/,
9,World on a Wire,1973,https://letterboxd.com/film/world-on-a-wire/,
10,Johnny Mnemonic,1995,https://letterboxd.com/film/johnny-mnemonic/,
11,Hardware,1990,https://letterboxd.com/film/hardware/,
12,TRON: Legacy,2010,https://letterboxd.com/film/tron-legacy/,
13,Avalon,2001,https://letterboxd.com/film/avalon-2001/,
14,Akira,1988,https://letterboxd.com/film/akira/,
15,Elysium,2013,https://letterboxd.com/film/elysium-2013/,
16,Tetsuo: The Iron Man,1989,https://letterboxd.com/film/tetsuo-the-iron-man/,
17,Total Recall,1990,https://letterboxd.com/film/total-recall/,
18,The Matrix,1999,https://letterboxd.com/film/the-matrix/,
19,Nirvana,1997,https://letterboxd.com/film/nirvana/,
20,Cypher,2002,https://letterboxd.com/film/cypher/,
