
Date,Name,Tags,URL,Description
2017-06-13,Essential /pol/ Viewing,,https://letterboxd.com/jojonium/list/essential-pol-viewing/,

Position,Name,Year,URL,Description
1,The Corporation,2003,https://letterboxd.com/film/the-corporation/,
2,They Live,1988,https://letterboxd.com/film/they-live/,
3,Inside Job,2010,https://letterboxd.com/film/inside-job-2010/,
4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,
5,Falling Down,1993,https://letterboxd.com/film/falling-down/,
6,Come and See,1985,https://letterboxd.com/film/come-and-see/,
7,The Matrix,1999,https://letterboxd.com/film/the-matrix/,
8,Gattaca,1997,https://letterboxd.com/film/gattaca/,
9,Brazil,1985,https://letterboxd.com/film/brazil/,
10,Wag the Dog,1997,https://letterboxd.com/film/wag-the-dog/,
11,Network,1976,https://letterboxd.com/film/network/,
12,The Good Shepherd,2006,https://letterboxd.com/film/the-good-shepherd/,
13,Downfall,2004,https://letterboxd.com/film/downfall/,
14,Lord of War,2005,https://letterboxd.com/film/lord-of-war/,
15,Triumph of the Will,1935,https://letterboxd.com/film/triumph-of-the-will/,
16,The World at War,1973,https://letterboxd.com/film/the-world-at-war/,
17,Manufacturing Consent: Noam Chomsky and the Media,1992,https://letterboxd.com/film/manufacturing-consent-noam-chomsky-and-the-media/,
18,Gangs of New York,2002,https://letterboxd.com/film/gangs-of-new-york-2002/,
19,The Wave,2008,https://letterboxd.com/film/the-wave-2008/,
20,Defamation,2009,https://letterboxd.com/film/defamation/,
21,Apocalypse Now,1979,https://letterboxd.com/film/apocalypse-now/,
22,The Sum of All Fears,2002,https://letterboxd.com/film/the-sum-of-all-fears/,
23,Taxi Driver,1976,https://letterboxd.com/film/taxi-driver/,
24,Syriana,2005,https://letterboxd.com/film/syriana/,
25,Zulu,1964,https://letterboxd.com/film/zulu/,
