
Date,Name,Tags,URL,Description
2017-04-22,Joseph's Suggestions to Watch,bae,https://letterboxd.com/jojonium/list/josephs-suggestions-to-watch/,

Position,Name,Year,URL,Description
1,Pulp Fiction,1994,https://letterboxd.com/film/pulp-fiction/,
2,Drive,2011,https://letterboxd.com/film/drive-2011/,
3,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/,
4,Redline,2009,https://letterboxd.com/film/redline-2009/,
5,Falling Down,1993,https://letterboxd.com/film/falling-down/,
6,The Martian,2015,https://letterboxd.com/film/the-martian/,
7,A Clockwork Orange,1971,https://letterboxd.com/film/a-clockwork-orange/,
8,Full Metal Jacket,1987,https://letterboxd.com/film/full-metal-jacket/,
9,The Princess Bride,1987,https://letterboxd.com/film/the-princess-bride/,
10,Brazil,1985,https://letterboxd.com/film/brazil/,
11,There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/,
12,The Matrix,1999,https://letterboxd.com/film/the-matrix/,
13,Ghost in the Shell,1995,https://letterboxd.com/film/ghost-in-the-shell/,
14,The Lord of the Rings: The Fellowship of the Ring,2001,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,
15,The Lord of the Rings: The Two Towers,2002,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,
16,The Lord of the Rings: The Return of the King,2003,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,
17,The Naked Gun: From the Files of Police Squad!,1988,https://letterboxd.com/film/the-naked-gun-from-the-files-of-police-squad/,
18,Alien,1979,https://letterboxd.com/film/alien/,
19,Cloverfield,2008,https://letterboxd.com/film/cloverfield/,
20,10 Cloverfield Lane,2016,https://letterboxd.com/film/10-cloverfield-lane/,
21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,
22,The Holy Mountain,1973,https://letterboxd.com/film/the-holy-mountain/,
23,Naked Lunch,1991,https://letterboxd.com/film/naked-lunch/,
24,Eraserhead,1977,https://letterboxd.com/film/eraserhead/,
