
Date,Name,Tags,URL,Description
2017-05-30,Movies with no major female characters,"women, female",https://letterboxd.com/jojonium/list/movies-with-no-major-female-characters/,Title says it all. These films can only have women in minor roles limited to only a handful of lines or as an extra. Work in progress.

Position,Name,Year,URL,Description
1,12 Angry Men,1957,https://letterboxd.com/film/12-angry-men/,
2,Primer,2004,https://letterboxd.com/film/primer/,
3,Master and Commander: The Far Side of the World,2003,https://letterboxd.com/film/master-and-commander-the-far-side-of-the-world/,
4,The Lord of the Rings: The Fellowship of the Ring,2001,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,
5,The Lord of the Rings: The Two Towers,2002,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,
6,The Lord of the Rings: The Return of the King,2003,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,
7,There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/,
8,2001: A Space Odyssey,1968,https://letterboxd.com/film/2001-a-space-odyssey/,
9,The Thing,1982,https://letterboxd.com/film/the-thing/,
10,Das Boot,1981,https://letterboxd.com/film/das-boot/,
11,The Borderlands,2013,https://letterboxd.com/film/the-borderlands/,
12,The Shawshank Redemption,1994,https://letterboxd.com/film/the-shawshank-redemption/,
