Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-04-22,Fargo,1996,https://letterboxd.com/jojonium/film/fargo/,4.5,,2017-04-21
2017-04-22,Eraserhead,1977,https://letterboxd.com/jojonium/film/eraserhead/,4.5,,2017-04-21
2017-04-23,The Big Lebowski,1998,https://letterboxd.com/jojonium/film/the-big-lebowski/,5,,2017-04-22
2017-04-23,Solaris,2002,https://letterboxd.com/jojonium/film/solaris-2002/,3.5,,2017-04-22
2017-04-24,The Thing,1982,https://letterboxd.com/jojonium/film/the-thing/,5,,2017-04-23
2017-04-24,Powers of Ten,1977,https://letterboxd.com/jojonium/film/powers-of-ten/,3,Youtube,2017-04-24
2017-04-25,The Holy Mountain,1973,https://letterboxd.com/jojonium/film/the-holy-mountain/,5,,2017-04-24
2017-04-26,Man of Steel,2013,https://letterboxd.com/jojonium/film/man-of-steel/,3.5,,2017-04-25
2017-04-26,Batman v Superman: Dawn of Justice,2016,https://letterboxd.com/jojonium/film/batman-v-superman-dawn-of-justice/,4,,2017-04-25
2017-04-26,Suicide Squad,2016,https://letterboxd.com/jojonium/film/suicide-squad-2016/,1.5,,2017-04-25
2017-04-27,Oldboy,2003,https://letterboxd.com/jojonium/film/oldboy/,5,netflix,2017-04-26
2017-04-27,"Godzilla, King of the Monsters!",1956,https://letterboxd.com/jojonium/film/godzilla-king-of-the-monsters/,4,,2017-04-26
2017-04-27,Come Together,2016,https://letterboxd.com/jojonium/film/come-together-2016/,3.5,youtube,2017-04-26
2017-04-27,Bottle Rocket,1994,https://letterboxd.com/jojonium/film/bottle-rocket/,3,Youtube,2017-04-26
2017-04-27,Moonrise Kingdom,2012,https://letterboxd.com/jojonium/film/moonrise-kingdom/,4,netflix,2017-04-26
2017-04-27,Captain America: Civil War,2016,https://letterboxd.com/jojonium/film/captain-america-civil-war/,0.5,netflix,2017-04-26
2017-04-28,Paperman,2012,https://letterboxd.com/jojonium/film/paperman/,4,Youtube,2017-04-27
