
Date,Name,Tags,URL,Description
2017-09-16,"Anti-Establishment, Anti-Consumerist Movies About Awakening and Discovering Reality and Yourself From 1998-2001",,https://letterboxd.com/jojonium/list/anti-establishment-anti-consumerist-movies/,"Because for some reason there were a lot of movies about awakening, false realities, finding your true self, etc. between the years of 1998 and 2001,  most with some anti-establishment or anti-consumerist themes."

Position,Name,Year,URL,Description
1,The Matrix,1999,https://letterboxd.com/film/the-matrix/,
2,Fight Club,1999,https://letterboxd.com/film/fight-club/,
3,American Beauty,1999,https://letterboxd.com/film/american-beauty/,
4,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/,
5,Memento,2000,https://letterboxd.com/film/memento/,
6,American Psycho,2000,https://letterboxd.com/film/american-psycho/,
7,The Sixth Sense,1999,https://letterboxd.com/film/the-sixth-sense/,
8,Being John Malkovich,1999,https://letterboxd.com/film/being-john-malkovich/,
9,The Truman Show,1998,https://letterboxd.com/film/the-truman-show/,
10,Donnie Darko,2001,https://letterboxd.com/film/donnie-darko/,
11,Vanilla Sky,2001,https://letterboxd.com/film/vanilla-sky/,
12,Dark City,1998,https://letterboxd.com/film/dark-city-1998/,
