
Date,Name,Tags,URL,Description
2017-11-19,Essential Depression-Core,"depression, sad, depressed",https://letterboxd.com/jojonium/list/essential-depression-core/,Films for or about depressed people

Position,Name,Year,URL,Description
1,Neon Genesis Evangelion: The End of Evangelion,1997,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/,
2,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/,
3,American Beauty,1999,https://letterboxd.com/film/american-beauty/,
4,Lost in Translation,2003,https://letterboxd.com/film/lost-in-translation/,
5,The Lobster,2015,https://letterboxd.com/film/the-lobster/,
6,Donnie Darko,2001,https://letterboxd.com/film/donnie-darko/,
7,"Synecdoche, New York",2008,https://letterboxd.com/film/synecdoche-new-york/,
8,Eraserhead,1977,https://letterboxd.com/film/eraserhead/,
9,Grave of the Fireflies,1988,https://letterboxd.com/film/grave-of-the-fireflies/,
10,The Bridge,2006,https://letterboxd.com/film/the-bridge-2006/,
11,Johnny Got His Gun,1971,https://letterboxd.com/film/johnny-got-his-gun/,
