
Date,Name,Tags,URL,Description
2018-01-18,Japan Animator Expo,"japan animator expo, anime, yir2018",https://letterboxd.com/jojonium/list/japan-animator-expo/,"Japan Animator Expo or Japan Anima(tor)'s Exhibition (日本アニメ（ーター）見本市 Nihon Animētā Mihon'ichi) was a weekly series of original net animations released as part of a collaboration between Hideaki Anno's Studio Khara and Dwango, consisting of various anime shorts produced by many directors. The project began release from November 7, 2014 and was streamed worldwide on Niconico.

Missing from Letterboxd:
#17: ""Three Fallen Witnesses""

#20a: ""ME!ME!ME! CHRONIC""

#20b: ""(Making of)evangelion: Another Impact""

#21: ""Iconic Field""

#22: ""On a Gloomy Night""

#26: ""COMEDY SKIT 1989""

#28: ""ENDLESS NIGHT""

#30: ""The Ultraman""

#31: ""GIRL""

#33: ""Ragnarok"""

Position,Name,Year,URL,Description
1,The Dragon Dentist,2014,https://letterboxd.com/film/the-dragon-dentist/,
2,Hill Climb Girl,2014,https://letterboxd.com/film/hill-climb-girl/,
3,ME!ME!ME!,2014,https://letterboxd.com/film/mememe/,
4,Carnage,2014,https://letterboxd.com/film/film:305329/,
5,Yoshikazu Yasuhiko & Ichiro Itano: Collection of Key Animation Films from Mobile Suit Gundam,2014,https://letterboxd.com/film/yoshikazu-yasuhiko-ichiro-itano-collection-of-key-animation-films-from-mobile-suit-gundam/,
6,"20min Walk From Nishi-Ogikubo Station, 2 Bedrooms, Living Room, Dining Room, Kitchen, 2mos Deposit, No Pets Allowed.",2014,https://letterboxd.com/film/20min-walk-from-nishi-ogikubo-station-2-bedrooms-living-room-dining-room-kitchen-2mos-deposit-no-pets/,
7,until You come to me,2014,https://letterboxd.com/film/until-you-come-to-me/,
8,Tomorrow From There,2015,https://letterboxd.com/film/tomorrow-from-there/,
9,Gridman,2015,https://letterboxd.com/film/gridman/,
10,Yamadeloid,2015,https://letterboxd.com/film/yamadeloid/,
11,Power Plant No.33,2015,https://letterboxd.com/film/power-plant-no33/,
12,Evangelion: Another Impact (Confidential),2015,https://letterboxd.com/film/evangelion-another-impact-confidential/,
13,Kanón,2015,https://letterboxd.com/film/kanon-2015/,
14,Sex & Violence with Machspeed,2015,https://letterboxd.com/film/sex-violence-with-machspeed/,
15,Obake-chan,2015,https://letterboxd.com/film/obake-chan/,
16,Tokio of the Moon's Shadow,,https://letterboxd.com/film/tokio-of-the-moons-shadow/,
17,Ochibi,2015,https://letterboxd.com/film/ochibi/,
18,I Can Friday By Today,2015,https://letterboxd.com/film/i-can-friday-by-today/,
19,Memoirs of Amorous Gentlemen,2015,https://letterboxd.com/film/memoirs-of-amorous-gentlemen/,
20,Rapid Rouge,2015,https://letterboxd.com/film/rapid-rouge/,
21,Hammerhead,2015,https://letterboxd.com/film/hammerhead-2015/,
22,Bubu & Bubulina,2015,https://letterboxd.com/film/bubu-bubulina/,
23,BUREAU OF PROTO SOCIETY,2015,https://letterboxd.com/film/bureau-of-proto-society/,
24,Neon Genesis Impacts,2015,https://letterboxd.com/film/neon-genesis-impacts/,
25,Robot on the Road,2015,https://letterboxd.com/film/robot-on-the-road/,
26,Cassette Girl,2015,https://letterboxd.com/film/cassette-girl/,
