
Date,Name,Tags,URL,Description
2017-04-22,Movies of the Year,allstats,https://letterboxd.com/jojonium/list/movies-of-the-year/,"My personal favorite films from every year I've seen at least one film from. Feature length films only, no shorts. Totally subjective."

Position,Name,Year,URL,Description
1,The Birth of a Nation,1915,https://letterboxd.com/film/the-birth-of-a-nation/,
2,The Cabinet of Dr. Caligari,1920,https://letterboxd.com/film/the-cabinet-of-dr-caligari-1920/,
3,Nosferatu,1922,https://letterboxd.com/film/nosferatu/,
4,"Sherlock, Jr.",1924,https://letterboxd.com/film/sherlock-jr/,
5,The General,1926,https://letterboxd.com/film/the-general/,
6,"Steamboat Bill, Jr.",1928,https://letterboxd.com/film/steamboat-bill-jr/,
7,Frankenstein,1931,https://letterboxd.com/film/frankenstein-1931/,
8,King Kong,1933,https://letterboxd.com/film/king-kong/,
9,Grand Illusion,1937,https://letterboxd.com/film/grand-illusion/,
10,The Lady Vanishes,1938,https://letterboxd.com/film/the-lady-vanishes/,
11,Fantasia,1940,https://letterboxd.com/film/fantasia/,
12,To Be or Not to Be,1942,https://letterboxd.com/film/to-be-or-not-to-be/,
13,It's a Wonderful Life,1946,https://letterboxd.com/film/its-a-wonderful-life/,
14,Seven Samurai,1954,https://letterboxd.com/film/seven-samurai/,
15,The Searchers,1956,https://letterboxd.com/film/the-searchers/,
16,The Bridge on the River Kwai,1957,https://letterboxd.com/film/the-bridge-on-the-river-kwai/,
17,Vertigo,1958,https://letterboxd.com/film/vertigo/,
18,The 400 Blows,1959,https://letterboxd.com/film/the-400-blows/,
19,Psycho,1960,https://letterboxd.com/film/psycho/,
20,Mothra,1961,https://letterboxd.com/film/mothra/,
21,La Jetée,1962,https://letterboxd.com/film/la-jetee/,
22,High and Low,1963,https://letterboxd.com/film/high-and-low/,
23,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,
24,Le Bonheur,1965,https://letterboxd.com/film/le-bonheur/,
25,Au Hasard Balthazar,1966,https://letterboxd.com/film/au-hasard-balthazar/,
26,The Jungle Book,1967,https://letterboxd.com/film/the-jungle-book/,
27,2001: A Space Odyssey,1968,https://letterboxd.com/film/2001-a-space-odyssey/,
28,All Monsters Attack,1969,https://letterboxd.com/film/all-monsters-attack/,
29,The Aristocats,1970,https://letterboxd.com/film/the-aristocats/,
30,A Clockwork Orange,1971,https://letterboxd.com/film/a-clockwork-orange/,
31,The Godfather,1972,https://letterboxd.com/film/the-godfather/,
32,The Holy Mountain,1973,https://letterboxd.com/film/the-holy-mountain/,
33,The Texas Chain Saw Massacre,1974,https://letterboxd.com/film/the-texas-chain-saw-massacre/,
34,Barry Lyndon,1975,https://letterboxd.com/film/barry-lyndon/,
35,Network,1976,https://letterboxd.com/film/network/,
36,Star Wars,1977,https://letterboxd.com/film/star-wars/,
37,Dawn of the Dead,1978,https://letterboxd.com/film/dawn-of-the-dead/,
38,Apocalypse Now,1979,https://letterboxd.com/film/apocalypse-now/,
39,The Shining,1980,https://letterboxd.com/film/the-shining/,
40,Das Boot,1981,https://letterboxd.com/film/das-boot/,
41,The Thing,1982,https://letterboxd.com/film/the-thing/,
42,Videodrome,1983,https://letterboxd.com/film/videodrome/,
43,Stop Making Sense,1984,https://letterboxd.com/film/stop-making-sense/,
44,Brazil,1985,https://letterboxd.com/film/brazil/,
45,Ferris Bueller's Day Off,1986,https://letterboxd.com/film/ferris-buellers-day-off/,
46,Full Metal Jacket,1987,https://letterboxd.com/film/full-metal-jacket/,
47,Akira,1988,https://letterboxd.com/film/akira/,
48,Kiki's Delivery Service,1989,https://letterboxd.com/film/kikis-delivery-service/,
49,Back to the Future Part III,1990,https://letterboxd.com/film/back-to-the-future-iii/,
50,Naked Lunch,1991,https://letterboxd.com/film/naked-lunch/,
51,Army of Darkness,1992,https://letterboxd.com/film/army-of-darkness/,
52,Groundhog Day,1993,https://letterboxd.com/film/groundhog-day/,
53,Natural Born Killers,1994,https://letterboxd.com/film/natural-born-killers/,
54,Toy Story,1995,https://letterboxd.com/film/toy-story/,
55,Fargo,1996,https://letterboxd.com/film/fargo/,
56,Neon Genesis Evangelion: The End of Evangelion,1997,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/,
57,The Big Lebowski,1998,https://letterboxd.com/film/the-big-lebowski/,
58,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/,
59,American Psycho,2000,https://letterboxd.com/film/american-psycho/,
60,Spirited Away,2001,https://letterboxd.com/film/spirited-away/,
61,The Lord of the Rings: The Two Towers,2002,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,
62,Oldboy,2003,https://letterboxd.com/film/oldboy/,
63,The Incredibles,2004,https://letterboxd.com/film/the-incredibles/,
64,Noroi: The Curse,2005,https://letterboxd.com/film/noroi-the-curse/,
65,Paprika,2006,https://letterboxd.com/film/paprika-2006/,
66,The Darjeeling Limited,2007,https://letterboxd.com/film/the-darjeeling-limited/,
67,"Synecdoche, New York",2008,https://letterboxd.com/film/synecdoche-new-york/,
68,Watchmen,2009,https://letterboxd.com/film/watchmen/,
69,Inception,2010,https://letterboxd.com/film/inception/,
70,Drive,2011,https://letterboxd.com/film/drive-2011/,
71,Wolf Children,2012,https://letterboxd.com/film/wolf-children/,
72,Her,2013,https://letterboxd.com/film/her/,
73,Whiplash,2014,https://letterboxd.com/film/whiplash-2014/,
74,The Lobster,2015,https://letterboxd.com/film/the-lobster/,
75,Shin Godzilla,2016,https://letterboxd.com/film/shin-godzilla/,
76,Blade Runner 2049,2017,https://letterboxd.com/film/blade-runner-2049/,
