
Date,Name,Tags,URL,Description
2017-10-06,Stanley Kubrick Ranked,"Stanley Kubrick, kubrick, ranked",https://letterboxd.com/jojonium/list/stanley-kubrick-ranked/,"I still have to watch a few more of his films, this list will be updated as I do"

Position,Name,Year,URL,Description
1,2001: A Space Odyssey,1968,https://letterboxd.com/film/2001-a-space-odyssey/,
2,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/,
3,Barry Lyndon,1975,https://letterboxd.com/film/barry-lyndon/,
4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,
5,The Shining,1980,https://letterboxd.com/film/the-shining/,
6,Paths of Glory,1957,https://letterboxd.com/film/paths-of-glory/,
7,A Clockwork Orange,1971,https://letterboxd.com/film/a-clockwork-orange/,
8,Full Metal Jacket,1987,https://letterboxd.com/film/full-metal-jacket/,
9,Lolita,1962,https://letterboxd.com/film/lolita/,
