
Date,Name,Tags,URL,Description
2018-03-11,The Name's Ranked. Bond Ranked.,"007 marathon, 007, James bond, ranked",https://letterboxd.com/jojonium/list/the-names-ranked-bond-ranked/,"Every James Bond film ranked. And yes, I'm including the non-Eon Productions films too.

Bond actors ranked (favorite first):
1. Timothy Dalton
2. Daniel Craig
3. Sean Connery
4. Roger Moore
5. Pierce Brosnan
6. David Niven
7. George Lazenby

Favorite villain: Max Zorin

Favorite henchman: Jaws

Favorite Bond girl: Vesper Lynd

Best M: Bernard Lee

Best Q: Desmond Llewelyn (of course)

Best Moneypenny: Lois Maxwell

Best Felix Leiter: David Hedison (<i>Licence to Kill</i>)

Best Blofeld: Telly Savalas (<i>On Her Majesty’s Secret Service</i>)

Best name: ""Pussy Galore""

Favorite title song: ""Goldfinger""

Favorite title sequence: <i>Casino Royale</i>

Favorite villain lair: <i>You Only Live Twice</i> volcano base

Favorite gadget: <a href=""https://en.wikipedia.org/wiki/List_of_James_Bond_gadgets#Goldfinger_(1964)"">wetsuit with rubber duck glued to hood</a>

Favorite one-liner/quip: ""I thought Christmas only comes once a year"" (<i>The World Is Not Enough</i>)"

Position,Name,Year,URL,Description
1,Casino Royale,2006,https://letterboxd.com/film/casino-royale-2006/,
2,Licence to Kill,1989,https://letterboxd.com/film/licence-to-kill/,
3,Skyfall,2012,https://letterboxd.com/film/skyfall/,
4,GoldenEye,1995,https://letterboxd.com/film/goldeneye/,
5,The Spy Who Loved Me,1977,https://letterboxd.com/film/the-spy-who-loved-me/,
6,Goldfinger,1964,https://letterboxd.com/film/goldfinger/,
7,On Her Majesty's Secret Service,1969,https://letterboxd.com/film/on-her-majestys-secret-service/,
8,Live and Let Die,1973,https://letterboxd.com/film/live-and-let-die/,
9,From Russia with Love,1963,https://letterboxd.com/film/from-russia-with-love/,
10,The Living Daylights,1987,https://letterboxd.com/film/the-living-daylights/,
11,Tomorrow Never Dies,1997,https://letterboxd.com/film/tomorrow-never-dies/,
12,The Man with the Golden Gun,1974,https://letterboxd.com/film/the-man-with-the-golden-gun/,
13,Dr. No,1962,https://letterboxd.com/film/dr-no/,
14,Spectre,2015,https://letterboxd.com/film/spectre-2015/,
15,You Only Live Twice,1967,https://letterboxd.com/film/you-only-live-twice/,
16,Thunderball,1965,https://letterboxd.com/film/thunderball/,
17,A View to a Kill,1985,https://letterboxd.com/film/a-view-to-a-kill/,
18,Never Say Never Again,1983,https://letterboxd.com/film/never-say-never-again/,
19,Octopussy,1983,https://letterboxd.com/film/octopussy/,
20,For Your Eyes Only,1981,https://letterboxd.com/film/for-your-eyes-only/,
21,Casino Royale,1967,https://letterboxd.com/film/casino-royale/,
22,The World Is Not Enough,1999,https://letterboxd.com/film/the-world-is-not-enough/,
23,Diamonds Are Forever,1971,https://letterboxd.com/film/diamonds-are-forever/,
24,Moonraker,1979,https://letterboxd.com/film/moonraker/,
25,Die Another Day,2002,https://letterboxd.com/film/die-another-day/,
26,Quantum of Solace,2008,https://letterboxd.com/film/quantum-of-solace/,
