
Date,Name,Tags,URL,Description
2017-09-30,The Night Hooptober Came Home: Hoop-tober 4.0 (2017),"hooptober4.0, horror, october, halloween, hoop-tober 4.0, yir2017",https://letterboxd.com/jojonium/list/the-night-hooptober-came-home-hoop-tober/,"My entry for Hoop-tober 4.0: https://letterboxd.com/cinemonster/list/the-night-hooptober-came-home-hoop-tober/

The idea is to watch one horror film every day for the entire length of October, following these rules:
6 sequels (mix-and-match. 6 total)
6 countries
6 decades
6 films from before 1970
6 films from the following: Carpenter, Raimi, Whale, Browning, Craven, Tom Holland (mix-and-match, or all one)
3 people eating people (non-zombie)
1 Hammer Film
1 Romero Dead film
1 terrible oversight"

Position,Name,Year,URL,Description
1,The Evil Dead,1981,https://letterboxd.com/film/the-evil-dead/,
2,Evil Dead II,1987,https://letterboxd.com/film/evil-dead-ii/,
3,Bug,2006,https://letterboxd.com/film/bug-2006/,
4,Dead Ringers,1988,https://letterboxd.com/film/dead-ringers/,
5,The Host,2006,https://letterboxd.com/film/the-host/,
6,The Cabinet of Dr. Caligari,1920,https://letterboxd.com/film/the-cabinet-of-dr-caligari-1920/,
7,Jeepers Creepers,2001,https://letterboxd.com/film/jeepers-creepers/,
8,Jeepers Creepers 2,2003,https://letterboxd.com/film/jeepers-creepers-2/,
9,From Beyond,1986,https://letterboxd.com/film/from-beyond/,
10,The Thing,1982,https://letterboxd.com/film/the-thing/,
11,The Thing,2011,https://letterboxd.com/film/the-thing-2011/,
12,Night of the Living Dead,1968,https://letterboxd.com/film/night-of-the-living-dead/,
13,Dawn of the Dead,1978,https://letterboxd.com/film/dawn-of-the-dead/,
14,Day of the Dead,1985,https://letterboxd.com/film/day-of-the-dead/,
15,Lifeforce,1985,https://letterboxd.com/film/lifeforce/,
16,The Texas Chainsaw Massacre 2,1986,https://letterboxd.com/film/the-texas-chainsaw-massacre-2/,
17,Necronomicon,1993,https://letterboxd.com/film/necronomicon/,
18,Psycho,1960,https://letterboxd.com/film/psycho/,
19,Frankenstein,1931,https://letterboxd.com/film/frankenstein-1931/,
20,Noroi: The Curse,2005,https://letterboxd.com/film/noroi-the-curse/,
21,Lake Mungo,2008,https://letterboxd.com/film/lake-mungo/,
22,Possession,1981,https://letterboxd.com/film/possession/,
23,Rosemary's Baby,1968,https://letterboxd.com/film/rosemarys-baby/,
24,The Poughkeepsie Tapes,2007,https://letterboxd.com/film/the-poughkeepsie-tapes/,
25,The Mummy,1932,https://letterboxd.com/film/the-mummy/,
26,Cannibal Holocaust,1980,https://letterboxd.com/film/cannibal-holocaust/,
27,Dracula,1931,https://letterboxd.com/film/dracula/,
28,Phantasm,1979,https://letterboxd.com/film/phantasm/,
29,The Ninth Gate,1999,https://letterboxd.com/film/the-ninth-gate/,
30,Kwaidan,1964,https://letterboxd.com/film/kwaidan/,
31,The Shining,1980,https://letterboxd.com/film/the-shining/,
