
Date,Name,Tags,URL,Description
2017-09-22,Wes Anderson Ranked,"wes anderson, ranked",https://letterboxd.com/jojonium/list/wes-anderson-ranked/,Purely my own subjective opinion

Position,Name,Year,URL,Description
1,The Life Aquatic with Steve Zissou,2004,https://letterboxd.com/film/the-life-aquatic-with-steve-zissou/,
2,Rushmore,1998,https://letterboxd.com/film/rushmore/,
3,The Grand Budapest Hotel,2014,https://letterboxd.com/film/the-grand-budapest-hotel/,
4,The Darjeeling Limited,2007,https://letterboxd.com/film/the-darjeeling-limited/,
5,Fantastic Mr. Fox,2009,https://letterboxd.com/film/fantastic-mr-fox/,
6,Bottle Rocket,1996,https://letterboxd.com/film/bottle-rocket-1996/,
7,The Royal Tenenbaums,2001,https://letterboxd.com/film/the-royal-tenenbaums/,
8,Moonrise Kingdom,2012,https://letterboxd.com/film/moonrise-kingdom/,
