Date,Name,Year,Letterboxd URI,Rating,Review,Tags,Watched Date
2017-04-22,Fargo,1996,https://letterboxd.com/jojonium/film/fargo/,4.5,"Much better than I expected, this movie is really beautiful and the characters and story fit perfectly together. Makes me want to live in Minnesota.",,2017-04-21
2017-04-22,Eraserhead,1977,https://letterboxd.com/jojonium/film/eraserhead/,4.5,"This film is definitely very strange, and honestly I don't know what to think of it. The lighting and sound design (and the sets) do a great job of conveying that surreal feeling. The practical effects are really great, and left me feeling genuinely unsettled. This might be the closest thing I've seen to a nightmare in film form.
I didn't really enjoy watching it, but it accomplished what it set out to do very well.",,2017-04-21
2017-04-23,The Big Lebowski,1998,https://letterboxd.com/jojonium/film/the-big-lebowski/,5,"The dialogue and characters are really fantastic, acting is top tier, decent visuals. Overall it was very fun to watch. Almost every scene is quotable. Plays with a lot of interesting character archetypes. 10/10 music.",,2017-04-22
2017-04-23,Solaris,2002,https://letterboxd.com/jojonium/film/solaris-2002/,3.5,Nice visuals and use of color. It feels kind of slow because of the lack of dialogue. It's interesting how the sci-fi plot is really just a pretense for a relationship drama. The psychological and dysfunctional relationship themes are explored in a good way.,,2017-04-22
2017-04-24,The Thing,1982,https://letterboxd.com/jojonium/film/the-thing/,5,The practical effects in this movie are absolutely amazing. The lighting is used to great effect to heighten the sense of paranoia and fear. A great premise and realistic decisions and consequences. Spooky/10,,2017-04-23
2017-04-24,Powers of Ten,1977,https://letterboxd.com/jojonium/film/powers-of-ten/,3,"This was pretty neat, for a 9 minute short. It's pretty cool that they were able to do the effects so smoothly, considering it was the 70s. I even learned a thing or two",Youtube,2017-04-24
2017-04-25,The Holy Mountain,1973,https://letterboxd.com/jojonium/film/the-holy-mountain/,5,"Utterly indescribable and absolutely beautiful. Every single shot is a work of art. The attention to detail is amazing, and the imagery is like nothing I've ever seen before.",,2017-04-24
2017-04-26,Man of Steel,2013,https://letterboxd.com/jojonium/film/man-of-steel/,3.5,"Someone should really tell modern movie studios that you can have action scenes without a cut every half a second. And that excessive bloom, lens flair, and half-assed CGI makes everything look shitty. Zack Snyder has a good eye for visuals, but isn't very good at camerawork. The camera is jumpy and moves way too much in scenes where it really shouldn't. This movie would be so much better if they just used a steadicam. The writing and thematic elements are nothing special, but they're certainly much better than your average modern blockbuster. The choreography is decent, but it's hard to see what's going on because of the rapid cuts and shaky cam.
Despite all that, the themes, symbolism, and characters make the movie still enjoyable.",,2017-04-25
2017-04-26,Batman v Superman: Dawn of Justice,2016,https://letterboxd.com/jojonium/film/batman-v-superman-dawn-of-justice/,4,"""Yeah bro, just add a ton of artificial film grain, it'll make it look like they're really in a desert!""
At least Zack Snyder has invested in a couple of tripods and steadicams. The weird shaky camerawork is still present, but greatly reduced from Man of Steel. They've certainly taken this series in a very different direction than most of the source material. The writing and imagery are nothing special, but pretty good for a superhero film. The plot is pretty contrived, and too much of it was left unresolved to hype up the Justice League movie. The choreography is alright, and you can actually see it now that Snyder has his camerawork problems fixed. It still has the problem of cutting every half a second though. The music is pretty good, but the other sound design is nothing memorable. Overall the CGI was decent, but Doomsday was pretty bad.",,2017-04-25
2017-04-26,Suicide Squad,2016,https://letterboxd.com/jojonium/film/suicide-squad-2016/,1.5,"This movie thinks it will make me like it by having a great soundtrack of famous songs. It's wrong.
I thought the DCEU was supposed to be about making superheroes believable with real stakes. With all the cool and colorful villains in the DC universe that they could have used, the antagonist is instead Gerry Generic, the ancient evil type who wants to end the world just because he's evil. None of the leads are relatable or likeable, even though Deadshot and Captain Boomerang have every right to be. The dialogue is full-on Marvel quip mode, like it was written by 12 year olds. The Mexican fire guy was the only one with actual depth, and even that was the cheesy default kind, plus his arc was resolved way too fast. There were even some good ideas for interesting imagery and shots, but they were all executed so poorly.

+10 points for including Captain Boomerang
-100 points for managing to make Captain fucking Boomerang boring.
",,2017-04-25
