Date,Name,Year,Letterboxd URI
2017-04-20,The Tree of Life,2011,https://letterboxd.com/film/the-tree-of-life-2011/
2017-04-20,Citizen Kane,1941,https://letterboxd.com/film/citizen-kane/
2017-04-20,Lawrence of Arabia,1962,https://letterboxd.com/film/lawrence-of-arabia/
2017-04-20,Metropolis,1927,https://letterboxd.com/film/metropolis/
2017-04-21,The Killing,1956,https://letterboxd.com/film/the-killing/
2017-04-21,Spartacus,1960,https://letterboxd.com/film/spartacus/
2017-04-21,Killer's Kiss,1955,https://letterboxd.com/film/killers-kiss/
2017-04-21,The Passion of the Christ,2004,https://letterboxd.com/film/the-passion-of-the-christ/
2017-04-22,The Fog of War,2003,https://letterboxd.com/film/the-fog-of-war/
2017-04-22,GoodFellas,1990,https://letterboxd.com/film/goodfellas/
2017-04-22,Mysterious Island,1961,https://letterboxd.com/film/mysterious-island-1961/
2017-04-22,Tokyo Story,1953,https://letterboxd.com/film/tokyo-story/
2017-04-22,Stalker,1979,https://letterboxd.com/film/stalker/
2017-04-22,Inland Empire,2006,https://letterboxd.com/film/inland-empire/
2017-04-22,"The Good, the Bad and the Ugly",1966,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/
2017-04-22,Minority Report,2002,https://letterboxd.com/film/minority-report/
2017-04-23,Total Recall,1990,https://letterboxd.com/film/total-recall/
2017-04-23,The Running Man,1987,https://letterboxd.com/film/the-running-man/
2017-04-23,5 Centimeters per Second,2007,https://letterboxd.com/film/5-centimeters-per-second/
2017-04-23,Battleship Potemkin,1925,https://letterboxd.com/film/battleship-potemkin/
2017-04-24,The Breakfast Club,1985,https://letterboxd.com/film/the-breakfast-club/
2017-04-25,Kung Fury,2015,https://letterboxd.com/film/kung-fury/
2017-04-25,Solaris,1972,https://letterboxd.com/film/solaris/
2017-04-25,Mirror,1975,https://letterboxd.com/film/mirror/
2017-04-25,Andrei Rublev,1966,https://letterboxd.com/film/andrei-rublev/
2017-04-25,The Midnight Meat Train,2008,https://letterboxd.com/film/the-midnight-meat-train/
2017-04-27,The Manchurian Candidate,1962,https://letterboxd.com/film/the-manchurian-candidate/
2017-04-28,Mulholland Drive,2001,https://letterboxd.com/film/mulholland-drive/
2017-04-28,Your Name.,2016,https://letterboxd.com/film/your-name/
2017-04-29,The Silence of the Lambs,1991,https://letterboxd.com/film/the-silence-of-the-lambs/
2017-04-29,Scott Pilgrim vs. the World,2010,https://letterboxd.com/film/scott-pilgrim-vs-the-world/
2017-05-01,A.I. Artificial Intelligence,2001,https://letterboxd.com/film/ai-artificial-intelligence/
2017-05-02,300,2006,https://letterboxd.com/film/300/
2017-05-06,Upstream Color,2013,https://letterboxd.com/film/upstream-color/
2017-05-06,Paterson,2016,https://letterboxd.com/film/paterson/
2017-05-23,Donnie Darko,2001,https://letterboxd.com/film/donnie-darko/
2017-05-23,El Topo,1970,https://letterboxd.com/film/el-topo/
